weeks_on_chart,streams,country
1,24686367,United States
1,24422351,United States
1,20462767,United States
1,19747340,United States
1,19747340,United States
1,19648367,United States
1,19648367,United States
1,19648367,United States
1,18986653,United States
1,18986653,United States
8,18941945,United States
1,18105602,United States
1,17171522,United States
2,17060280,United States
1,16602026,United States
1,16226990,United States
1,16100728,United States
1,16100728,United States
1,16100728,United States
2,15380574,United States
2,15292889,United States
1,15207782,United States
1,15207782,United States
3,15105490,United States
1,15077797,United States
1,15077797,United States
2,14940431,United States
1,14513619,United States
1,14513619,United States
6,14386603,United States
